epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,44.0368,1.91528,5.3062,1.57594,0.00025,0.0407,0.00021,9e-05,1.83991,5.16089,1.86399,0.00045009,0.00015003,0.00045009,0.00015003,0.00045009,0.00015003,0.00045009,0.00015003
2,87.3787,1.79788,5.16501,1.49511,0.00065,0.11047,0.00121,0.00039,1.74688,5.00133,1.68848,0.000940783,0.000313594,0.000940783,0.000313594,0.000940783,0.000313594,0.000940783,0.000313594
3,129.761,1.61642,4.76303,1.30539,0.00141,0.24419,0.01473,0.00797,1.58666,4.8199,1.46214,0.00142157,0.000473858,0.00142157,0.000473858,0.00142157,0.000473858,0.00142157,0.000473858
4,171.839,1.50219,4.52834,1.22074,0.0022,0.38953,0.07929,0.04336,1.41383,4.48129,1.23837,0.00189246,0.000630821,0.00189246,0.000630821,0.00189246,0.000630821,0.00189246,0.000630821
5,213.996,1.40759,4.26689,1.10936,0.00239,0.4186,0.32184,0.18326,1.36082,4.28098,1.10727,0.00235345,0.000784484,0.00235345,0.000784484,0.00235345,0.000784484,0.00235345,0.000784484
6,256.829,1.43464,3.89598,1.1095,0.00275,0.48837,0.43396,0.26311,1.29498,4.00928,1.0414,0.00280454,0.000934845,0.00280454,0.000934845,0.00280454,0.000934845,0.00280454,0.000934845
7,302.051,1.41329,3.81671,1.10194,0.99009,0.28744,0.54161,0.34122,1.33191,3.64695,1.03914,0.00324572,0.00108191,0.00324572,0.00108191,0.00324572,0.00108191,0.00324572,0.00108191
8,346.864,1.36936,2.76854,1.03283,0.99346,0.43839,0.72649,0.4479,1.35735,3.27061,1.03878,0.003677,0.00122567,0.003677,0.00122567,0.003677,0.00122567,0.003677,0.00122567
9,391.987,1.26565,2.2953,1.02186,0.97154,0.52374,0.85641,0.50982,1.35473,2.76014,1.02854,0.00409838,0.00136613,0.00409838,0.00136613,0.00409838,0.00136613,0.00409838,0.00136613
10,436.651,1.30575,2.29681,1.08783,0.91143,0.73177,0.91592,0.52595,1.38089,2.47571,1.03236,0.00450986,0.00150329,0.00450986,0.00150329,0.00450986,0.00150329,0.00450986,0.00150329
11,481.249,1.23105,1.97591,1.01938,0.85911,0.78349,0.93019,0.53083,1.37865,2.46914,1.04137,0.0045059,0.00150197,0.0045059,0.00150197,0.0045059,0.00150197,0.0045059,0.00150197
12,526.276,1.21594,1.98503,1.01067,0.92307,0.90957,0.95406,0.56451,1.32575,2.15097,1.01159,0.00445639,0.00148546,0.00445639,0.00148546,0.00445639,0.00148546,0.00445639,0.00148546
13,573.07,1.22206,1.89541,1.01849,0.92711,0.92442,0.9568,0.54519,1.34536,2.01409,1.01177,0.00440688,0.00146896,0.00440688,0.00146896,0.00440688,0.00146896,0.00440688,0.00146896
14,622.54,1.18836,1.7333,0.9839,0.948,0.91291,0.95639,0.52456,1.43155,1.82041,1.03149,0.00435737,0.00145246,0.00435737,0.00145246,0.00435737,0.00145246,0.00435737,0.00145246
15,669.634,1.10191,1.56933,0.96103,0.93015,0.92274,0.95656,0.56355,1.33808,1.74432,1.00547,0.00430786,0.00143595,0.00430786,0.00143595,0.00430786,0.00143595,0.00430786,0.00143595
16,718.064,1.20878,1.65363,0.98098,0.92786,0.94149,0.95771,0.56231,1.34766,1.599,1.01349,0.00425835,0.00141945,0.00425835,0.00141945,0.00425835,0.00141945,0.00425835,0.00141945
17,765.719,1.15549,1.51378,0.96901,0.92729,0.95213,0.96003,0.59701,1.2667,1.58732,0.99012,0.00420884,0.00140295,0.00420884,0.00140295,0.00420884,0.00140295,0.00420884,0.00140295
18,812.995,1.14075,1.55043,0.9673,0.95077,0.94631,0.96576,0.57463,1.32588,1.59561,1.0108,0.00415933,0.00138644,0.00415933,0.00138644,0.00415933,0.00138644,0.00415933,0.00138644
19,859.754,1.15594,1.61524,0.96701,0.94545,0.92979,0.95959,0.56983,1.33116,1.53324,1.01883,0.00410982,0.00136994,0.00410982,0.00136994,0.00410982,0.00136994,0.00410982,0.00136994
20,906.498,1.14491,1.53317,0.98869,0.94614,0.94992,0.96117,0.60716,1.25442,1.45462,0.99117,0.00406031,0.00135344,0.00406031,0.00135344,0.00406031,0.00135344,0.00406031,0.00135344
21,954.635,1.13164,1.53974,0.98082,0.93789,0.9568,0.96103,0.59011,1.29277,1.41431,1.00894,0.0040108,0.00133693,0.0040108,0.00133693,0.0040108,0.00133693,0.0040108,0.00133693
22,1003.28,1.09065,1.50474,0.96054,0.93766,0.94365,0.96004,0.58924,1.29948,1.39621,1.00537,0.00396129,0.00132043,0.00396129,0.00132043,0.00396129,0.00132043,0.00396129,0.00132043
23,1052.87,1.13129,1.51672,0.98231,0.94927,0.93157,0.95389,0.5641,1.35645,1.38956,1.02109,0.00391178,0.00130393,0.00391178,0.00130393,0.00391178,0.00130393,0.00391178,0.00130393
24,1105.48,1.12261,1.36106,0.95429,0.92734,0.92061,0.93864,0.55714,1.35022,1.34811,1.02688,0.00386227,0.00128742,0.00386227,0.00128742,0.00386227,0.00128742,0.00386227,0.00128742
25,1159.27,1.09247,1.26431,0.95197,0.93095,0.90808,0.92534,0.55118,1.33959,1.31453,1.02545,0.00381276,0.00127092,0.00381276,0.00127092,0.00381276,0.00127092,0.00381276,0.00127092
26,1206.23,1.12366,1.32087,0.96732,0.95862,0.72958,0.75131,0.47266,1.29373,1.30505,1.00746,0.00376325,0.00125442,0.00376325,0.00125442,0.00376325,0.00125442,0.00376325,0.00125442
27,1252.01,1.04796,1.28962,0.93679,0.95435,0.71103,0.72344,0.44209,1.30138,1.27961,1.01104,0.00371374,0.00123791,0.00371374,0.00123791,0.00371374,0.00123791,0.00371374,0.00123791
28,1292.65,1.01145,1.24088,0.92802,0.99016,0.60403,0.6161,0.36514,1.35253,1.24373,1.02276,0.00366423,0.00122141,0.00366423,0.00122141,0.00366423,0.00122141,0.00366423,0.00122141
29,1332.41,1.00117,1.21967,0.92175,0.98045,0.58127,0.58761,0.37236,1.27779,1.22748,1.00138,0.00361472,0.00120491,0.00361472,0.00120491,0.00361472,0.00120491,0.00361472,0.00120491
30,1374.71,0.98547,1.20934,0.91676,0.98133,0.64237,0.65538,0.38453,1.36516,1.22532,1.02375,0.00356521,0.0011884,0.00356521,0.0011884,0.00356521,0.0011884,0.00356521,0.0011884
31,1414.62,1.03207,1.22934,0.95069,0.98799,0.60801,0.61522,0.39205,1.27197,1.19213,1.00236,0.0035157,0.0011719,0.0035157,0.0011719,0.0035157,0.0011719,0.0035157,0.0011719
32,1453.73,1.02676,1.18092,0.93145,0.99487,0.53851,0.55267,0.3465,1.28764,1.20222,1.00801,0.00346619,0.0011554,0.00346619,0.0011554,0.00346619,0.0011554,0.00346619,0.0011554
33,1494.29,0.99027,1.08318,0.91303,0.9854,0.57179,0.59371,0.36411,1.32738,1.20306,1.02043,0.00341668,0.00113889,0.00341668,0.00113889,0.00341668,0.00113889,0.00341668,0.00113889
34,1537.21,0.97799,1.13172,0.91882,0.9845,0.62385,0.6459,0.40434,1.30181,1.17948,1.015,0.00336717,0.00112239,0.00336717,0.00112239,0.00336717,0.00112239,0.00336717,0.00112239
35,1583.02,0.97202,1.1041,0.9299,0.9196,0.67569,0.67303,0.40992,1.31327,1.17998,1.01749,0.00331766,0.00110589,0.00331766,0.00110589,0.00331766,0.00110589,0.00331766,0.00110589
36,1623.89,0.96555,1.14908,0.92166,0.9819,0.59178,0.60048,0.36081,1.36582,1.16558,1.02951,0.00326815,0.00108938,0.00326815,0.00108938,0.00326815,0.00108938,0.00326815,0.00108938
37,1667.99,0.92076,1.06717,0.91257,0.95201,0.68345,0.69741,0.40202,1.40501,1.15677,1.03937,0.00321864,0.00107288,0.00321864,0.00107288,0.00321864,0.00107288,0.00321864,0.00107288
38,1711.77,0.97825,1.04229,0.90901,0.93837,0.67256,0.67859,0.41806,1.32768,1.12125,1.02206,0.00316913,0.00105638,0.00316913,0.00105638,0.00316913,0.00105638,0.00316913,0.00105638
39,1752.42,0.98578,1.0605,0.91523,0.97637,0.61553,0.63871,0.3544,1.48138,1.1535,1.06258,0.00311962,0.00103987,0.00311962,0.00103987,0.00311962,0.00103987,0.00311962,0.00103987
40,1795.03,0.85393,1.01358,0.87726,0.98683,0.62295,0.63713,0.3755,1.3992,1.11955,1.04813,0.00307011,0.00102337,0.00307011,0.00102337,0.00307011,0.00102337,0.00307011,0.00102337
41,1842.22,0.95728,1.04547,0.9288,0.93671,0.71851,0.72625,0.43687,1.3641,1.10911,1.04093,0.0030206,0.00100687,0.0030206,0.00100687,0.0030206,0.00100687,0.0030206,0.00100687
42,1882.87,0.88845,0.97867,0.88959,0.97207,0.57454,0.58359,0.34222,1.41373,1.1219,1.05889,0.00297109,0.000990365,0.00297109,0.000990365,0.00297109,0.000990365,0.00297109,0.000990365
43,1931.13,0.93033,0.98313,0.91543,0.91804,0.74996,0.7446,0.45212,1.33678,1.10579,1.03724,0.00292158,0.000973861,0.00292158,0.000973861,0.00292158,0.000973861,0.00292158,0.000973861
44,1974.4,0.86291,0.97159,0.89917,0.96133,0.64421,0.66045,0.4032,1.33488,1.08508,1.03597,0.00287207,0.000957358,0.00287207,0.000957358,0.00287207,0.000957358,0.00287207,0.000957358
45,2019.58,0.98687,1.08778,0.94361,0.94818,0.6972,0.69417,0.41454,1.3403,1.06207,1.02874,0.00282256,0.000940855,0.00282256,0.000940855,0.00282256,0.000940855,0.00282256,0.000940855
46,2066.72,0.88424,0.95348,0.88958,0.96058,0.71758,0.7312,0.44283,1.32866,1.06288,1.02954,0.00277305,0.000924352,0.00277305,0.000924352,0.00277305,0.000924352,0.00277305,0.000924352
47,2117.82,0.89629,0.98304,0.88816,0.93624,0.80939,0.82681,0.50595,1.31494,1.05381,1.02552,0.00272354,0.000907848,0.00272354,0.000907848,0.00272354,0.000907848,0.00272354,0.000907848
48,2158.32,0.86713,1.0171,0.90788,0.97658,0.56161,0.57318,0.34649,1.35461,1.05233,1.03179,0.00267403,0.000891345,0.00267403,0.000891345,0.00267403,0.000891345,0.00267403,0.000891345
49,2198.5,0.83624,0.99036,0.89429,0.9735,0.51672,0.521,0.32248,1.31814,1.05236,1.02555,0.00262452,0.000874842,0.00262452,0.000874842,0.00262452,0.000874842,0.00262452,0.000874842
50,2237.34,0.88873,0.92188,0.91299,0.98707,0.52613,0.53819,0.3351,1.33382,1.03963,1.03584,0.00257501,0.000858338,0.00257501,0.000858338,0.00257501,0.000858338,0.00257501,0.000858338
51,2274.49,0.90008,0.92591,0.89637,0.98775,0.48094,0.48546,0.29634,1.35324,1.05648,1.03859,0.0025255,0.000841835,0.0025255,0.000841835,0.0025255,0.000841835,0.0025255,0.000841835
52,2314.01,0.89185,0.8944,0.89296,0.98781,0.51934,0.52523,0.32921,1.314,1.03374,1.03171,0.002476,0.000825332,0.002476,0.000825332,0.002476,0.000825332,0.002476,0.000825332
53,2354.6,0.86402,0.916,0.89811,0.9834,0.56606,0.58063,0.37759,1.26865,1.00992,1.01962,0.00242649,0.000808828,0.00242649,0.000808828,0.00242649,0.000808828,0.00242649,0.000808828
54,2406.95,0.83966,0.94656,0.88974,0.94393,0.83568,0.83653,0.5233,1.29724,1.00192,1.02274,0.00237698,0.000792325,0.00237698,0.000792325,0.00237698,0.000792325,0.00237698,0.000792325
55,2458.79,0.83583,0.95806,0.90051,0.95321,0.94403,0.94235,0.56071,1.3397,1.00788,1.03214,0.00232747,0.000775822,0.00232747,0.000775822,0.00232747,0.000775822,0.00232747,0.000775822
56,2510.3,0.846,0.90995,0.87968,0.92586,0.78805,0.77845,0.47188,1.3307,1.00343,1.02687,0.00227796,0.000759318,0.00227796,0.000759318,0.00227796,0.000759318,0.00227796,0.000759318
57,2560.17,0.82026,0.92555,0.90102,0.92518,0.81853,0.81208,0.48606,1.34018,1.00891,1.02737,0.00222845,0.000742815,0.00222845,0.000742815,0.00222845,0.000742815,0.00222845,0.000742815
58,2609.74,0.81551,0.89265,0.87394,0.93159,0.79502,0.79001,0.47527,1.34033,1.00784,1.02916,0.00217894,0.000726312,0.00217894,0.000726312,0.00217894,0.000726312,0.00217894,0.000726312
59,2661.17,0.84679,0.87198,0.8868,0.93595,0.94838,0.94897,0.56101,1.36074,0.99619,1.03406,0.00212943,0.000709809,0.00212943,0.000709809,0.00212943,0.000709809,0.00212943,0.000709809
60,2707.52,0.83068,0.87174,0.88704,0.93193,0.95834,0.94709,0.56469,1.36836,1.00231,1.04189,0.00207992,0.000693305,0.00207992,0.000693305,0.00207992,0.000693305,0.00207992,0.000693305
61,2759.4,0.79085,1.15434,0.88302,0.929,0.95528,0.94462,0.57704,1.32423,0.99529,1.02761,0.00203041,0.000676802,0.00203041,0.000676802,0.00203041,0.000676802,0.00203041,0.000676802
62,2810.9,0.84544,0.87141,0.89425,0.91782,0.78897,0.77851,0.47362,1.31156,0.99262,1.0228,0.0019809,0.000660299,0.0019809,0.000660299,0.0019809,0.000660299,0.0019809,0.000660299
63,2860.72,0.75556,0.84216,0.85596,0.94149,0.83715,0.85189,0.49492,1.35019,0.99845,1.0381,0.00193139,0.000643795,0.00193139,0.000643795,0.00193139,0.000643795,0.00193139,0.000643795
64,2909.74,0.81723,0.83213,0.87171,0.94592,0.93036,0.94381,0.56364,1.35603,0.99358,1.04554,0.00188188,0.000627292,0.00188188,0.000627292,0.00188188,0.000627292,0.00188188,0.000627292
65,2958.65,0.7644,0.8373,0.87199,0.9501,0.93592,0.94613,0.55331,1.36135,0.98375,1.04143,0.00183237,0.000610789,0.00183237,0.000610789,0.00183237,0.000610789,0.00183237,0.000610789
66,3006.5,0.81269,0.8459,0.87782,0.9486,0.93245,0.94468,0.54919,1.36769,0.97936,1.04516,0.00178286,0.000594286,0.00178286,0.000594286,0.00178286,0.000594286,0.00178286,0.000594286
67,3055.98,0.7854,0.81401,0.88107,0.94901,0.93233,0.94084,0.56617,1.33676,0.97604,1.03765,0.00173335,0.000577782,0.00173335,0.000577782,0.00173335,0.000577782,0.00173335,0.000577782
68,3103.96,0.81317,0.79899,0.88227,0.94837,0.93082,0.94252,0.56966,1.33085,0.95797,1.03728,0.00168384,0.000561279,0.00168384,0.000561279,0.00168384,0.000561279,0.00168384,0.000561279
69,3151.84,0.82886,0.8131,0.88216,0.94463,0.93214,0.94579,0.56389,1.35371,0.96188,1.04888,0.00163433,0.000544776,0.00163433,0.000544776,0.00163433,0.000544776,0.00163433,0.000544776
70,3204.5,0.79341,0.80943,0.87698,0.93901,0.8381,0.85332,0.51232,1.33835,0.9638,1.04116,0.00158482,0.000528272,0.00158482,0.000528272,0.00158482,0.000528272,0.00158482,0.000528272
71,3253.25,0.87642,0.86796,0.89456,0.92691,0.94199,0.9437,0.56908,1.31914,0.96423,1.02946,0.00153531,0.000511769,0.00153531,0.000511769,0.00153531,0.000511769,0.00153531,0.000511769
72,3303.06,0.79028,0.8037,0.87244,0.93304,0.93036,0.94103,0.56506,1.33666,0.96079,1.03792,0.0014858,0.000495266,0.0014858,0.000495266,0.0014858,0.000495266,0.0014858,0.000495266
73,3351.08,0.73237,0.80307,0.8729,0.92158,0.95394,0.94217,0.56503,1.33342,0.95065,1.0367,0.00143629,0.000478762,0.00143629,0.000478762,0.00143629,0.000478762,0.00143629,0.000478762
74,3399.21,0.75033,0.78702,0.88319,0.92472,0.9596,0.94771,0.55969,1.35863,0.94617,1.04517,0.00138678,0.000462259,0.00138678,0.000462259,0.00138678,0.000462259,0.00138678,0.000462259
75,3445.48,0.75451,0.82581,0.87254,0.934,0.94447,0.94966,0.56266,1.36018,0.93976,1.04441,0.00133727,0.000445756,0.00133727,0.000445756,0.00133727,0.000445756,0.00133727,0.000445756
76,3490.86,0.73405,0.82793,0.88136,0.94063,0.93915,0.95386,0.57085,1.35009,0.92952,1.04074,0.00128776,0.000429253,0.00128776,0.000429253,0.00128776,0.000429253,0.00128776,0.000429253
77,3539.23,0.80607,0.81726,0.89647,0.93732,0.95242,0.95566,0.57766,1.33981,0.93278,1.04116,0.00123825,0.000412749,0.00123825,0.000412749,0.00123825,0.000412749,0.00123825,0.000412749
78,3588.45,0.72273,0.79657,0.87591,0.93906,0.94326,0.95339,0.56539,1.34719,0.9319,1.04291,0.00118874,0.000396246,0.00118874,0.000396246,0.00118874,0.000396246,0.00118874,0.000396246
79,3636.33,0.73093,0.77382,0.85995,0.93699,0.94099,0.94939,0.55696,1.37387,0.94455,1.05245,0.00113923,0.000379743,0.00113923,0.000379743,0.00113923,0.000379743,0.00113923,0.000379743
80,3684.45,0.69859,0.83431,0.8596,0.93488,0.94277,0.9477,0.57386,1.34459,0.93563,1.04456,0.00108972,0.000363239,0.00108972,0.000363239,0.00108972,0.000363239,0.00108972,0.000363239
81,3732.17,0.73153,0.76379,0.85669,0.93483,0.94206,0.9493,0.56976,1.34957,0.93507,1.04548,0.00104021,0.000346736,0.00104021,0.000346736,0.00104021,0.000346736,0.00104021,0.000346736
82,3780.51,0.72422,0.79157,0.8674,0.93632,0.94756,0.94704,0.56717,1.35959,0.92952,1.04756,0.000990698,0.000330233,0.000990698,0.000330233,0.000990698,0.000330233,0.000990698,0.000330233
83,3828.29,0.80029,0.78644,0.89321,0.9369,0.9476,0.94604,0.57023,1.33708,0.9205,1.04164,0.000941188,0.000313729,0.000941188,0.000313729,0.000941188,0.000313729,0.000941188,0.000313729
84,3877.37,0.77072,0.75226,0.87108,0.93539,0.94631,0.94472,0.55491,1.37573,0.93237,1.0539,0.000891678,0.000297226,0.000891678,0.000297226,0.000891678,0.000297226,0.000891678,0.000297226
85,3924.42,0.74161,0.79396,0.89249,0.9373,0.95205,0.94581,0.56241,1.36109,0.92738,1.04771,0.000842168,0.000280723,0.000842168,0.000280723,0.000842168,0.000280723,0.000842168,0.000280723
86,3970.93,0.6993,0.90096,0.86515,0.9373,0.95225,0.94084,0.57462,1.32345,0.92311,1.03505,0.000792659,0.00026422,0.000792659,0.00026422,0.000792659,0.00026422,0.000792659,0.00026422
87,4016.88,0.71818,0.76257,0.85333,0.93727,0.95193,0.93941,0.56671,1.33883,0.93213,1.04039,0.000743149,0.000247716,0.000743149,0.000247716,0.000743149,0.000247716,0.000743149,0.000247716
88,4065.12,0.72794,0.70761,0.85857,0.93729,0.95156,0.94031,0.56673,1.34415,0.92761,1.04246,0.000693639,0.000231213,0.000693639,0.000231213,0.000693639,0.000231213,0.000693639,0.000231213
89,4114.55,0.69947,0.76326,0.87187,0.93725,0.95102,0.94005,0.56542,1.34779,0.92578,1.04341,0.000644129,0.00021471,0.000644129,0.00021471,0.000644129,0.00021471,0.000644129,0.00021471
90,4164.97,0.72927,0.73728,0.86396,0.93482,0.94812,0.94012,0.57003,1.33606,0.91902,1.03936,0.000594619,0.000198206,0.000594619,0.000198206,0.000594619,0.000198206,0.000594619,0.000198206
91,4215.19,0.77699,1.04401,0.87733,0.93613,0.94225,0.94069,0.58071,1.30924,0.91694,1.03172,0.000545109,0.000181703,0.000545109,0.000181703,0.000545109,0.000181703,0.000545109,0.000181703
92,4265.22,0.79793,0.97642,0.86894,0.93114,0.94928,0.9436,0.58463,1.29147,0.91536,1.0266,0.000495599,0.0001652,0.000495599,0.0001652,0.000495599,0.0001652,0.000495599,0.0001652
93,4313.88,0.80188,1.11236,0.87645,0.92672,0.94857,0.94385,0.58299,1.29187,0.9164,1.02607,0.000446089,0.000148696,0.000446089,0.000148696,0.000446089,0.000148696,0.000446089,0.000148696
94,4363.85,0.75974,1.01919,0.86898,0.90518,0.97249,0.94564,0.57499,1.3095,0.93118,1.02948,0.000396579,0.000132193,0.000396579,0.000132193,0.000396579,0.000132193,0.000396579,0.000132193
95,4411.85,0.77092,0.99503,0.85542,0.90494,0.96825,0.94633,0.56513,1.32918,0.94177,1.03414,0.000347069,0.00011569,0.000347069,0.00011569,0.000347069,0.00011569,0.000347069,0.00011569
96,4461.5,0.71446,0.95036,0.85568,0.90837,0.9734,0.94644,0.55983,1.34723,0.93913,1.03902,0.00029756,9.91865e-05,0.00029756,9.91865e-05,0.00029756,9.91865e-05,0.00029756,9.91865e-05
97,4511.22,0.79756,1.02646,0.86264,0.90929,0.9734,0.94618,0.55863,1.35658,0.94051,1.04091,0.00024805,8.26832e-05,0.00024805,8.26832e-05,0.00024805,8.26832e-05,0.00024805,8.26832e-05
98,4559.73,0.72509,0.94084,0.85814,0.91085,0.97236,0.94668,0.56465,1.35378,0.93335,1.03871,0.00019854,6.61799e-05,0.00019854,6.61799e-05,0.00019854,6.61799e-05,0.00019854,6.61799e-05
99,4611.07,0.73555,0.97431,0.84261,0.91101,0.97282,0.94716,0.56411,1.35244,0.93134,1.03812,0.00014903,4.96766e-05,0.00014903,4.96766e-05,0.00014903,4.96766e-05,0.00014903,4.96766e-05
100,4659.74,0.68974,0.96982,0.84811,0.91098,0.97293,0.94696,0.56535,1.3434,0.92958,1.03544,9.95199e-05,3.31733e-05,9.95199e-05,3.31733e-05,9.95199e-05,3.31733e-05,9.95199e-05,3.31733e-05
